epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2116.4,1.01805,1.14128,1.03426,0.77559,0.94065,0.94876,0.49082,2.20888,0.80399,1.89904,0.00354,0.00354,0.00354
138,2123.78,1.0246,1.13963,1.05017,0.75548,0.95652,0.94087,0.48431,2.17982,0.80937,1.82453,0.0034925,0.0034925,0.0034925
139,2131.39,1.0081,1.0967,1.05735,0.73939,0.92609,0.92364,0.44732,2.35488,0.904,2.00787,0.003445,0.003445,0.003445
140,2138.79,1.03789,1.17222,1.08982,0.81793,0.86087,0.90746,0.45131,2.33912,0.86657,2.00886,0.0033975,0.0033975,0.0033975
141,2146.48,1.01117,1.10156,1.07767,0.86279,0.89588,0.93736,0.47551,2.24002,0.80467,1.87507,0.00335,0.00335,0.00335
142,2154,1.00516,1.11175,1.06334,0.74987,0.89684,0.94668,0.47421,2.23311,0.84069,1.88591,0.0033025,0.0033025,0.0033025
143,2161.86,1.0094,1.08286,1.06026,0.69574,0.884,0.92687,0.45933,2.29176,0.92312,1.92796,0.003255,0.003255,0.003255
144,2169.44,1.00255,1.07625,1.04321,0.80434,0.87755,0.93561,0.46582,2.27086,0.96836,1.91347,0.0032075,0.0032075,0.0032075
145,2176.31,1.03669,1.16318,1.061,0.76723,0.92478,0.92424,0.47178,2.2776,0.78337,1.89122,0.00316,0.00316,0.00316
146,2183.29,1.00305,1.06544,1.03144,0.72062,0.92552,0.93202,0.46741,2.27185,0.82754,1.88197,0.0031125,0.0031125,0.0031125
147,2190.41,1.03408,1.17697,1.07611,0.79306,0.91397,0.92876,0.47268,2.2872,0.81664,1.90027,0.003065,0.003065,0.003065
148,2198.09,1.02631,1.10463,1.07699,0.78385,0.93788,0.95174,0.47356,2.25893,0.88845,1.86884,0.0030175,0.0030175,0.0030175
